CONCEPT	rope	ruler	sack	saddle	sailboat	salamander	salmon	sandals	sandpaper	sardine	saucer	saxophone	scarf	scissors	scooter	screwdriver	screws	seagull	seal	seaweed	shack	shawl	shed	sheep	shell	shelves	shield	ship	shirt	shoes	shotgun	shovel	shrimp	sink	skateboard	skillet	skirt	skis	skunk	skyscraper	sled	sledgehammer	sleigh	slingshot	slippers	snail	socks	sofa	spade	sparrow	spatula	spear	spider	spinach	spoon	squid	squirrel	starling	stereo	stick	stone	stool_(furniture)	stork	stove	strainer	strawberry	submarine	subway	surfboard	swan	sweater	swimsuit	sword	table	tack	tangerine	tank_(army)	tank_(container)	tap	tape_(scotch)	taxi	telephone	tent	thermometer	thimble	tie	tiger	toad	toaster	toilet	tomahawk	tomato	tongs	tortoise	toy	tractor	trailer	train	tray	tricycle	tripod	trolley	trombone	trousers	trout	truck	trumpet	tuba	tuna	turkey	turnip	turtle	typewriter	umbrella	unicycle	urn	van	veil	vest	vine	violin	vulture	wagon	wall	walnut	walrus	wand	wasp	whale	wheel	wheelbarrow	whip	whistle	willow	woodpecker	worm	wrench	yacht	yam	zebra	zucchini
celery	0.057	0.013	0.000	0.000	0.000	0.119	0.058	0.000	0.000	0.051	0.000	0.000	0.044	0.000	0.000	0.016	0.000	0.000	0.028	0.383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.103	0.000	0.022	0.000	0.051	0.051	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.023	0.040	0.000	0.743	0.000	0.084	0.000	0.000	0.000	0.057	0.000	0.000	0.000	0.000	0.000	0.051	0.000	0.000	0.074	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.178	0.000	0.000	0.017	0.000	0.000	0.000	0.024	0.000	0.021	0.000	0.218	0.000	0.000	0.000	0.307	0.026	0.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.076	0.000	0.000	0.000	0.067	0.020	0.477	0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.379	0.000	0.000	0.000	0.000	0.159	0.000	0.079	0.000	0.000	0.000	0.000	0.061	0.000	0.207	0.000	0.076	0.000	0.000	0.308	0.000	0.639
cellar	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.158	0.000	0.000	0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
cello	0.000	0.123	0.000	0.000	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.040	0.000	0.204	0.000	0.132	0.000	0.000	0.184	0.098	0.164	0.000	0.000	0.000	0.000	0.059	0.000	0.143	0.000	0.000	0.066	0.000	0.034	0.170	0.183	0.096	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.057	0.041	0.029	0.000	0.074	0.000	0.000	0.000	0.000	0.232	0.000	0.219	0.045	0.000	0.000	0.000	0.106	0.000	0.053	0.000	0.000	0.000	0.000	0.220	0.000	0.000	0.140	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.048	0.000	0.000	0.034	0.000	0.087	0.058	0.000	0.000	0.000	0.000	0.069	0.419	0.000	0.000	0.136	0.379	0.532	0.051	0.075	0.000	0.000	0.042	0.055	0.000	0.000	0.094	0.000	0.000	0.000	0.517	0.063	0.068	0.106	0.000	0.148	0.000	0.000	0.181	0.000	0.066	0.034	0.045	0.069	0.000	0.000	0.000	0.136	0.000	0.000	0.000
certificate	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
chain	0.163	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.186	0.228	0.178	0.075	0.141	0.285	0.000	0.000	0.026	0.071	0.000	0.058	0.000	0.000	0.089	0.286	0.000	0.000	0.000	0.198	0.101	0.000	0.067	0.036	0.141	0.084	0.083	0.000	0.000	0.066	0.272	0.090	0.000	0.000	0.000	0.000	0.000	0.187	0.000	0.183	0.066	0.000	0.000	0.208	0.000	0.000	0.000	0.000	0.093	0.000	0.111	0.000	0.053	0.210	0.000	0.166	0.000	0.121	0.000	0.000	0.000	0.217	0.000	0.192	0.000	0.155	0.197	0.206	0.028	0.000	0.000	0.000	0.039	0.262	0.148	0.000	0.000	0.099	0.000	0.000	0.000	0.382	0.000	0.000	0.080	0.000	0.070	0.137	0.090	0.148	0.118	0.079	0.000	0.000	0.000	0.156	0.089	0.000	0.000	0.000	0.000	0.083	0.126	0.000	0.111	0.000	0.000	0.000	0.071	0.000	0.000	0.047	0.000	0.000	0.000	0.129	0.000	0.000	0.130	0.154	0.100	0.220	0.042	0.000	0.124	0.262	0.000	0.000	0.000	0.064
chair	0.000	0.111	0.000	0.111	0.000	0.155	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.184	0.000	0.119	0.201	0.000	0.166	0.049	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.129	0.000	0.000	0.060	0.143	0.000	0.153	0.135	0.087	0.078	0.076	0.000	0.000	0.546	0.000	0.000	0.051	0.037	0.232	0.000	0.066	0.000	0.124	0.000	0.000	0.209	0.000	0.611	0.142	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.000	0.000	0.000	0.425	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.028	0.043	0.000	0.000	0.055	0.000	0.016	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.154	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.088	0.000	0.061	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.109	0.000
chandelier	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.106	0.000	0.030	0.000	0.000	0.042	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.018	0.029	0.015	0.000	0.019	0.029	0.000	0.000	0.048	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.024	0.022	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.106	0.000	0.000	0.000
chapel	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
cheese	0.000	0.000	0.000	0.000	0.000	0.074	0.157	0.000	0.000	0.157	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.069	0.075	0.196	0.000	0.000	0.000	0.066	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.290	0.000	0.000	0.000	0.000	0.000	0.087	0.000	0.000	0.000	0.000	0.000	0.042	0.107	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.050	0.000	0.226	0.000	0.000	0.000	0.016	0.066	0.000	0.053	0.000	0.000	0.149	0.000	0.000	0.000	0.098	0.000	0.000	0.000	0.000	0.000	0.166	0.000	0.000	0.000	0.000	0.148	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.064	0.000	0.082	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.199	0.000	0.000	0.000	0.215	0.054	0.195	0.013	0.000	0.000	0.000	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.247	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.254	0.062	0.033
cheetah	0.000	0.000	0.000	0.000	0.000	0.098	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.104	0.000	0.000	0.000	0.161	0.000	0.000	0.000	0.000	0.201	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.186	0.000	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.280	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.178	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.134	0.000	0.000	0.000	0.000	0.000	0.274	0.045	0.000	0.000	0.000	0.000	0.000	0.119	0.000	0.019	0.000	0.146	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.015	0.053	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.250	0.000	0.046	0.152	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.349	0.000
cherry	0.000	0.000	0.000	0.000	0.033	0.119	0.000	0.000	0.000	0.084	0.095	0.000	0.000	0.000	0.033	0.000	0.043	0.000	0.000	0.000	0.089	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.187	0.000	0.000	0.043	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.067	0.000	0.000	0.055	0.000	0.000	0.000	0.056	0.051	0.000	0.000	0.098	0.117	0.000	0.000	0.043	0.559	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.091	0.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.066	0.000	0.000	0.037	0.000	0.000	0.000	0.490	0.000	0.000	0.000	0.050	0.000	0.000	0.037	0.138	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.025	0.000	0.046	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.139	0.000	0.105	0.000	0.048	0.048	0.000	0.151	0.000	0.000	0.075	0.000	0.000	0.047	0.000	0.000	0.133	0.000	0.000
chickadee	0.000	0.000	0.000	0.024	0.057	0.250	0.074	0.012	0.019	0.146	0.000	0.000	0.000	0.000	0.058	0.000	0.074	0.533	0.062	0.000	0.155	0.000	0.108	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.193	0.000	0.000	0.000	0.000	0.000	0.202	0.000	0.000	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.054	0.863	0.000	0.000	0.141	0.000	0.000	0.000	0.220	0.772	0.000	0.000	0.063	0.087	0.479	0.000	0.000	0.049	0.000	0.000	0.000	0.342	0.000	0.000	0.000	0.000	0.159	0.117	0.000	0.000	0.000	0.000	0.134	0.000	0.000	0.000	0.114	0.000	0.100	0.120	0.000	0.000	0.000	0.000	0.000	0.091	0.000	0.031	0.000	0.000	0.000	0.105	0.000	0.092	0.000	0.000	0.057	0.000	0.000	0.000	0.000	0.331	0.000	0.148	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.011	0.473	0.000	0.000	0.098	0.128	0.029	0.377	0.047	0.000	0.000	0.029	0.131	0.024	0.547	0.107	0.000	0.000	0.000	0.137	0.000
chicken	0.000	0.000	0.000	0.000	0.000	0.110	0.271	0.000	0.000	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.409	0.106	0.121	0.000	0.000	0.000	0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.042	0.000	0.133	0.000	0.000	0.000	0.000	0.000	0.113	0.000	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.022	0.000	0.652	0.000	0.000	0.109	0.031	0.000	0.139	0.171	0.571	0.020	0.000	0.000	0.022	0.382	0.000	0.000	0.065	0.000	0.018	0.000	0.340	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.068	0.091	0.000	0.000	0.000	0.051	0.000	0.171	0.000	0.023	0.000	0.014	0.000	0.000	0.000	0.000	0.028	0.024	0.254	0.000	0.048	0.034	0.089	0.481	0.095	0.249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.422	0.000	0.000	0.108	0.124	0.000	0.110	0.077	0.000	0.000	0.000	0.031	0.000	0.520	0.000	0.000	0.000	0.079	0.078	0.018
chimp	0.000	0.000	0.000	0.032	0.000	0.086	0.065	0.016	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.194	0.000	0.000	0.000	0.000	0.277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.232	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.470	0.076	0.000	0.000	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.265	0.183	0.000	0.000	0.000	0.000	0.000	0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.097	0.000	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.162	0.000	0.000	0.064	0.296	0.000	0.000	0.235	0.000	0.000	0.000	0.000	0.032	0.131	0.032	0.000	0.000	0.000	0.197	0.000
chipmunk	0.000	0.000	0.000	0.043	0.053	0.262	0.074	0.022	0.034	0.136	0.000	0.000	0.000	0.000	0.097	0.000	0.069	0.059	0.171	0.000	0.144	0.000	0.100	0.244	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.230	0.000	0.023	0.000	0.000	0.000	0.294	0.000	0.029	0.000	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.201	0.000	0.000	0.088	0.000	0.000	0.000	0.666	0.083	0.000	0.000	0.058	0.080	0.045	0.000	0.000	0.046	0.000	0.074	0.000	0.084	0.000	0.000	0.000	0.000	0.148	0.109	0.000	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.106	0.000	0.231	0.155	0.000	0.055	0.000	0.000	0.000	0.092	0.000	0.000	0.000	0.060	0.000	0.098	0.000	0.086	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.051	0.035	0.127	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.019	0.039	0.000	0.000	0.132	0.233	0.000	0.077	0.135	0.000	0.000	0.000	0.122	0.043	0.137	0.120	0.000	0.000	0.000	0.323	0.000
chisel	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.102	0.000	0.381	0.063	0.431	0.170	0.000	0.000	0.000	0.060	0.000	0.048	0.000	0.000	0.075	0.240	0.000	0.000	0.000	0.166	0.391	0.000	0.056	0.000	0.179	0.000	0.000	0.000	0.000	0.055	0.387	0.075	0.000	0.000	0.000	0.000	0.000	0.318	0.000	0.188	0.095	0.000	0.000	0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.093	0.000	0.045	0.176	0.000	0.139	0.000	0.000	0.000	0.000	0.000	0.304	0.000	0.309	0.000	0.130	0.166	0.172	0.000	0.000	0.000	0.000	0.000	0.189	0.000	0.000	0.000	0.083	0.000	0.155	0.000	0.285	0.000	0.000	0.067	0.000	0.058	0.115	0.075	0.124	0.099	0.000	0.000	0.000	0.000	0.078	0.051	0.000	0.000	0.000	0.000	0.070	0.166	0.000	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.047	0.129	0.022	0.184	0.000	0.000	0.000	0.575	0.000	0.000	0.000	0.000
church	0.000	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.019	0.053	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.165	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.061	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.038	0.025	0.000	0.000	0.000	0.000	0.030	0.026	0.000	0.000	0.059	0.000	0.058	0.022	0.033	0.000	0.000	0.000	0.024	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.064	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.059	0.000	0.000	0.000
cigar	0.076	0.011	0.000	0.084	0.032	0.000	0.000	0.043	0.066	0.138	0.000	0.000	0.038	0.000	0.000	0.014	0.000	0.000	0.015	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.046	0.000	0.000	0.000	0.000	0.023	0.000	0.019	0.000	0.045	0.044	0.000	0.013	0.000	0.028	0.000	0.000	0.000	0.000	0.097	0.000	0.000	0.000	0.020	0.036	0.011	0.000	0.000	0.000	0.096	0.000	0.031	0.050	0.000	0.000	0.017	0.000	0.000	0.000	0.040	0.000	0.065	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.053	0.032	0.000	0.015	0.018	0.000	0.000	0.021	0.000	0.019	0.014	0.101	0.000	0.000	0.000	0.000	0.023	0.013	0.000	0.033	0.022	0.000	0.000	0.000	0.000	0.026	0.045	0.000	0.051	0.052	0.000	0.051	0.107	0.028	0.000	0.000	0.000	0.021	0.000	0.000	0.036	0.000	0.000	0.038	0.037	0.024	0.000	0.000	0.168	0.056	0.069	0.000	0.069	0.000	0.000	0.054	0.000	0.132	0.000	0.152	0.000	0.092	0.000	0.000	0.034
cigarette	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.088	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.096	0.000	0.043	0.000	0.000	0.000	0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.037	0.000	0.000	0.025	0.000	0.000	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.039	0.074	0.000	0.025	0.000	0.000	0.000	0.000	0.136	0.000	0.000	0.000	0.037	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.089	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.056	0.000	0.077	0.000	0.000	0.027	0.000	0.036	0.000	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.085	0.000
clam	0.000	0.000	0.000	0.000	0.000	0.232	0.321	0.000	0.000	0.242	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.258	0.248	0.000	0.000	0.000	0.056	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.588	0.000	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.432	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.063	0.000	0.560	0.059	0.000	0.000	0.036	0.148	0.000	0.000	0.000	0.000	0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.063	0.000	0.000	0.000	0.104	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.364	0.000	0.000	0.000	0.304	0.088	0.194	0.457	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.499	0.177	0.000	0.000	0.187	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.161	0.050	0.000
clamp	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.089	0.000	0.200	0.054	0.360	0.443	0.000	0.000	0.000	0.052	0.000	0.042	0.000	0.000	0.065	0.208	0.000	0.000	0.000	0.144	0.283	0.000	0.049	0.000	0.103	0.000	0.000	0.000	0.000	0.048	0.326	0.065	0.000	0.000	0.000	0.000	0.000	0.239	0.000	0.106	0.000	0.000	0.000	0.112	0.000	0.000	0.000	0.000	0.000	0.000	0.081	0.000	0.039	0.153	0.000	0.121	0.000	0.000	0.000	0.000	0.000	0.122	0.000	0.282	0.000	0.113	0.144	0.150	0.170	0.000	0.000	0.000	0.000	0.164	0.000	0.000	0.000	0.072	0.000	0.066	0.000	0.248	0.000	0.000	0.058	0.000	0.051	0.100	0.065	0.108	0.086	0.000	0.000	0.000	0.000	0.068	0.044	0.000	0.000	0.000	0.000	0.061	0.092	0.000	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.112	0.000	0.160	0.000	0.000	0.000	0.505	0.000	0.000	0.000	0.000
clarinet	0.082	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.570	0.062	0.064	0.027	0.064	0.073	0.000	0.000	0.023	0.089	0.000	0.062	0.054	0.000	0.089	0.119	0.014	0.000	0.000	0.071	0.036	0.000	0.024	0.076	0.051	0.073	0.093	0.119	0.000	0.076	0.158	0.062	0.027	0.000	0.000	0.000	0.000	0.167	0.000	0.103	0.070	0.060	0.000	0.078	0.000	0.000	0.038	0.000	0.153	0.000	0.108	0.000	0.019	0.075	0.000	0.059	0.000	0.121	0.000	0.000	0.000	0.100	0.069	0.049	0.000	0.056	0.071	0.073	0.024	0.000	0.000	0.000	0.034	0.081	0.030	0.056	0.000	0.035	0.000	0.015	0.000	0.158	0.000	0.000	0.029	0.000	0.025	0.049	0.032	0.053	0.042	0.671	0.000	0.000	0.000	0.498	0.526	0.000	0.000	0.000	0.000	0.130	0.045	0.000	0.040	0.000	0.038	0.000	0.062	0.472	0.000	0.038	0.033	0.000	0.000	0.166	0.051	0.000	0.020	0.075	0.140	0.176	0.036	0.000	0.108	0.094	0.000	0.000	0.106	0.055
cloak	0.222	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.233	0.000	0.000	0.061	0.000	0.000	0.000	0.061	0.000	0.298	0.000	0.073	0.000	0.000	0.000	0.000	0.166	0.059	0.000	0.000	0.000	0.000	0.085	0.000	0.354	0.195	0.161	0.000	0.000	0.067	0.000	0.000	0.052	0.000	0.088	0.000	0.136	0.000	0.090	0.156	0.081	0.000	0.000	0.000	0.000	0.052	0.000	0.218	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.285	0.000	0.258	0.125	0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.000	0.000	0.092	0.000	0.208	0.075	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.100	0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.051	0.183	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.378	0.069	0.000	0.000	0.000	0.308	0.000	0.098	0.000	0.292	0.000	0.000	0.000	0.143	0.150
