CONCEPT	accordion	airplane	alligator	ambulance	anchor	ant	apartment	apple	apron	armour	ashtray	asparagus	avocado	axe	bag	bagpipe	ball	balloon	banana	banjo	banner	barn	barrel	basement	basket	bat_(animal)	bat_(baseball)	bathtub	baton	bayonet	bazooka	beans	bear	beaver	bed	bedroom	beehive	beetle	beets	belt	bench	bike	bin_(waste)	birch	biscuit	bison	blackbird	blender	blouse	blueberry	bluejay	board_(black)	board_(wood)	boat	bolts	bomb	book	bookcase	boots	bottle	bouquet	bow_(ribbon)	bow_(weapon)	bowl	box	bra	bracelet	bread	brick	bridge	broccoli	broom	brush	bucket	buckle	budgie	buffalo	buggy	building	bull	bullet	bungalow	bureau	bus	butterfly	buzzard	cabbage	cabin	cabinet	cage	cake	calf	camel	camisole	canary	candle	cannon	canoe	cantaloupe	cap_(bottle)	cap_(hat)	cape	car	card_(greeting)	caribou	carpet	carrot	cart	cat	catapult	caterpillar	catfish	cathedral	cauliflower	cedar	celery	cellar	cello	certificate	chain	chair	chandelier	chapel	cheese	cheetah	cherry	chickadee	chicken	chimp	chipmunk	chisel	church	cigar	cigarette	clam	clamp	clarinet	cloak	clock	closet	coat	cockroach	coconut	cod	coin	colander	comb	cork	corkscrew	corn	cottage	couch	cougar	cow	coyote	crab	cranberry	crane_(machine)	crayon	crocodile	crossbow	crow	crowbar	crown	cucumber	cup	cupboard	curtains	cushion	dagger	dandelion	deer	desk	dish	dishwasher	dog	doll	dolphin	donkey	door	doorknob	dove	drain	drapes	dress	dresser	drill	drum	duck	dunebuggy	eagle	earmuffs	eel	eggplant	elephant	elevator	elk	emerald	emu	envelope
motorcycle	0.033	0.097	0.041	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.069	0.000	0.032	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.145	0.158	0.000	0.038	0.000	0.000	0.000	0.116	0.000	0.000	0.000	0.000	0.490	0.000	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.061	0.000	0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.279	0.000	0.061	0.086	0.000	0.000	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.131	0.044	0.000	0.000	0.000	0.000	0.433	0.000	0.026	0.000	0.000	0.324	0.000	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.119	0.000	0.000	0.023	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.192	0.000	0.000	0.000	0.000	0.000	0.000	0.081	0.052	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.000	0.071	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.074	0.000	0.488	0.000	0.000	0.073	0.000	0.000	0.041	0.035	0.000	0.000	0.000
mouse	0.000	0.000	0.155	0.048	0.000	0.187	0.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.152	0.000	0.039	0.000	0.000	0.000	0.064	0.224	0.213	0.000	0.045	0.000	0.057	0.000	0.000	0.000	0.000	0.055	0.073	0.100	0.145	0.051	0.000	0.000	0.123	0.077	0.000	0.000	0.062	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.025	0.000	0.057	0.000	0.044	0.000	0.000	0.000	0.000	0.074	0.148	0.136	0.000	0.000	0.083	0.095	0.162	0.000	0.000	0.058	0.059	0.014	0.095	0.000	0.060	0.000	0.257	0.094	0.035	0.137	0.000	0.000	0.000	0.000	0.151	0.000	0.000	0.000	0.000	0.172	0.000	0.000	0.000	0.377	0.000	0.112	0.072	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.114	0.096	0.234	0.097	0.295	0.370	0.000	0.000	0.000	0.038	0.042	0.000	0.000	0.000	0.000	0.078	0.000	0.074	0.018	0.000	0.075	0.000	0.057	0.000	0.000	0.000	0.231	0.000	0.307	0.193	0.148	0.095	0.067	0.000	0.000	0.141	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.081	0.000	0.183	0.000	0.000	0.000	0.230	0.000	0.171	0.263	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.057	0.000	0.028	0.000	0.044	0.000	0.257	0.000	0.149	0.000	0.087	0.053
mouse_(computer)	0.131	0.000	0.000	0.000	0.000	0.124	0.065	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.110	0.000	0.000	0.021	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.042	0.000	0.000	0.000	0.030	0.000	0.038	0.000	0.000	0.000	0.000	0.097	0.000	0.067	0.000	0.000	0.026	0.280	0.082	0.026	0.000	0.000	0.041	0.053	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.022	0.042	0.041	0.000	0.000	0.000	0.000	0.029	0.000	0.019	0.086	0.066	0.078	0.046	0.000	0.000	0.000	0.000	0.063	0.108	0.000	0.000	0.038	0.000	0.000	0.063	0.000	0.040	0.000	0.068	0.000	0.000	0.064	0.000	0.000	0.000	0.000	0.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.110	0.000	0.000	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.187	0.049	0.000	0.000	0.050	0.083	0.121	0.000	0.000	0.000	0.154	0.000	0.000	0.000	0.000	0.037	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.035	0.054	0.000	0.000	0.000	0.041	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.233	0.000	0.000	0.000	0.000
mug	0.000	0.035	0.000	0.023	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.198	0.031	0.000	0.000	0.026	0.000	0.000	0.079	0.041	0.064	0.000	0.346	0.000	0.000	0.066	0.000	0.000	0.038	0.000	0.087	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.092	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.134	0.000	0.000	0.000	0.071	0.055	0.000	0.000	0.000	0.000	0.034	0.000	0.237	0.232	0.372	0.000	0.000	0.084	0.099	0.046	0.078	0.000	0.000	0.020	0.032	0.000	0.036	0.000	0.000	0.000	0.033	0.000	0.000	0.020	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.055	0.000	0.000	0.020	0.000	0.035	0.000	0.000	0.088	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.088	0.026	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.095	0.000	0.000	0.019	0.021	0.056	0.000	0.000	0.000	0.089	0.000	0.045	0.000	0.031	0.000	0.000	0.000	0.582	0.000	0.000	0.000	0.142	0.000	0.000	0.000	0.060	0.000	0.000	0.000	0.000	0.000	0.123	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.092	0.000	0.032	0.000	0.035	0.000
mushroom	0.000	0.000	0.000	0.080	0.000	0.055	0.028	0.000	0.000	0.000	0.000	0.297	0.200	0.000	0.000	0.000	0.000	0.000	0.097	0.000	0.000	0.000	0.063	0.000	0.000	0.014	0.000	0.065	0.000	0.000	0.000	0.391	0.120	0.099	0.000	0.013	0.000	0.017	0.276	0.000	0.000	0.000	0.016	0.162	0.230	0.086	0.000	0.000	0.000	0.144	0.011	0.000	0.057	0.018	0.023	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.052	0.041	0.000	0.308	0.000	0.013	0.226	0.000	0.000	0.000	0.022	0.020	0.141	0.000	0.000	0.000	0.028	0.047	0.000	0.000	0.017	0.000	0.285	0.028	0.000	0.018	0.092	0.082	0.082	0.058	0.028	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.031	0.000	0.193	0.000	0.000	0.000	0.033	0.099	0.000	0.426	0.061	0.277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.217	0.000	0.062	0.082	0.095	0.043	0.142	0.000	0.000	0.114	0.063	0.195	0.000	0.000	0.000	0.000	0.023	0.000	0.089	0.144	0.164	0.022	0.000	0.017	0.075	0.000	0.182	0.068	0.000	0.041	0.092	0.000	0.172	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.277	0.000	0.000	0.000	0.015	0.024	0.040	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.112	0.000	0.000	0.000	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.089	0.363	0.000	0.000	0.111	0.000	0.000	0.087
muzzle	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.163	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
napkin	0.000	0.000	0.000	0.100	0.000	0.000	0.000	0.000	0.128	0.000	0.000	0.000	0.020	0.000	0.242	0.000	0.039	0.069	0.032	0.000	0.268	0.000	0.000	0.000	0.000	0.000	0.000	0.082	0.000	0.000	0.000	0.000	0.052	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.152	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.078	0.000	0.030	0.112	0.086	0.000	0.133	0.033	0.000	0.000	0.150	0.077	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.100	0.000	0.043	0.000	0.000	0.000	0.000	0.039	0.062	0.027	0.332	0.000	0.110	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.165	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.037	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.029	0.000	0.060	0.000	0.000	0.000	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.032	0.132	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.141	0.000	0.020	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.355
necklace	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.139	0.000	0.000	0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.000	0.057	0.000	0.000	0.000	0.000	0.000	0.076	0.000	0.097	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.075	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.036	0.028	0.000	0.000	0.048	0.616	0.000	0.000	0.026	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.092	0.041	0.030	0.000	0.000	0.029	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.275	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.038	0.103	0.000	0.000	0.041	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.047	0.274	0.053	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.080	0.000	0.000	0.000	0.000	0.064	0.000	0.000
nectarine	0.000	0.000	0.000	0.030	0.000	0.046	0.024	0.487	0.000	0.000	0.063	0.000	0.298	0.000	0.000	0.000	0.142	0.083	0.345	0.048	0.000	0.000	0.127	0.000	0.000	0.011	0.000	0.000	0.116	0.000	0.000	0.016	0.000	0.000	0.000	0.011	0.000	0.014	0.118	0.000	0.000	0.000	0.104	0.000	0.158	0.000	0.000	0.000	0.000	0.478	0.009	0.000	0.000	0.015	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.146	0.015	0.000	0.048	0.000	0.000	0.011	0.022	0.000	0.000	0.082	0.018	0.017	0.000	0.000	0.000	0.000	0.023	0.040	0.000	0.000	0.014	0.000	0.056	0.023	0.000	0.015	0.095	0.025	0.000	0.000	0.024	0.000	0.000	0.000	0.719	0.160	0.000	0.000	0.000	0.000	0.000	0.000	0.146	0.000	0.000	0.000	0.027	0.000	0.000	0.015	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.127	0.000	0.620	0.041	0.000	0.000	0.038	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.055	0.019	0.000	0.018	0.306	0.000	0.165	0.000	0.014	0.000	0.000	0.033	0.057	0.000	0.000	0.000	0.000	0.039	0.302	0.000	0.000	0.000	0.000	0.000	0.000	0.056	0.051	0.000	0.000	0.000	0.043	0.020	0.000	0.000	0.000	0.095	0.000	0.000	0.000	0.013	0.000	0.000	0.085	0.000	0.033	0.000	0.000	0.000	0.000	0.066	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
nightgown	0.000	0.000	0.126	0.000	0.000	0.000	0.000	0.000	0.119	0.000	0.000	0.135	0.028	0.000	0.030	0.000	0.029	0.051	0.120	0.000	0.121	0.000	0.000	0.000	0.000	0.000	0.162	0.000	0.205	0.133	0.000	0.000	0.000	0.000	0.152	0.000	0.000	0.000	0.000	0.086	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.267	0.000	0.000	0.000	0.144	0.000	0.000	0.000	0.000	0.000	0.112	0.000	0.000	0.134	0.060	0.022	0.000	0.167	0.000	0.021	0.024	0.056	0.000	0.138	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.299	0.000	0.032	0.000	0.055	0.000	0.000	0.083	0.264	0.020	0.000	0.000	0.111	0.062	0.000	0.000	0.000	0.084	0.000	0.000	0.000	0.000	0.056	0.000	0.000	0.000	0.093	0.072	0.000	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.000	0.080	0.322	0.000	0.000	0.226	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.159	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.060	0.000	0.000	0.099	0.000	0.112	0.016	0.000	0.069	0.199	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.370	0.000	0.000	0.000	0.000	0.000	0.000	0.166	0.170	0.000	0.000	0.000	0.000	0.000	0.000	0.023
nightingale	0.000	0.387	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.323	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.203	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.808	0.000	0.000	0.000	0.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.329	0.689	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.665	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.495	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.574	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.740	0.000	0.000	0.000	0.000	0.000	0.000	0.380	0.000	0.694	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.509	0.000
nylons	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.081	0.000	0.052	0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.365	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.039	0.000	0.104	0.000	0.040	0.000	0.299	0.019	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.283	0.000	0.058	0.000	0.015	0.000	0.000	0.052	0.000	0.036	0.000	0.000	0.084	0.000	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.078	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.120	0.031	0.000	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.088	0.303	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041
oak	0.000	0.033	0.000	0.022	0.025	0.045	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.025	0.000	0.144	0.039	0.169	0.313	0.000	0.092	0.000	0.204	0.056	0.082	0.000	0.037	0.033	0.117	0.044	0.000	0.000	0.000	0.067	0.047	0.000	0.210	0.000	0.025	0.350	0.000	0.127	0.000	0.000	0.000	0.000	0.000	0.020	0.279	0.121	0.000	0.000	0.000	0.227	0.016	0.000	0.000	0.000	0.121	0.000	0.099	0.000	0.000	0.036	0.065	0.088	0.048	0.112	0.000	0.000	0.000	0.000	0.110	0.000	0.179	0.074	0.000	0.000	0.162	0.030	0.000	0.034	0.119	0.211	0.229	0.000	0.000	0.000	0.056	0.000	0.000	0.000	0.033	0.110	0.000	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.000	0.151	0.000	0.154	0.000	0.000	0.084	0.059	0.580	0.065	0.000	0.195	0.000	0.040	0.125	0.000	0.000	0.022	0.000	0.000	0.015	0.000	0.019	0.026	0.000	0.024	0.073	0.000	0.050	0.000	0.043	0.000	0.000	0.000	0.000	0.097	0.066	0.000	0.000	0.000	0.000	0.168	0.000	0.000	0.133	0.018	0.039	0.074	0.000	0.000	0.000	0.085	0.000	0.043	0.119	0.029	0.038	0.000	0.000	0.000	0.116	0.000	0.000	0.000	0.000	0.020	0.159	0.000	0.000	0.000	0.000	0.000	0.018	0.179	0.000	0.000	0.000	0.000	0.000	0.168	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.088	0.018	0.057	0.000	0.034	0.000
octopus	0.000	0.042	0.159	0.028	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.090	0.110	0.000	0.000	0.000	0.000	0.032	0.085	0.000	0.049	0.049	0.041	0.000	0.000	0.038	0.000	0.035	0.000	0.000	0.046	0.104	0.178	0.201	0.000	0.000	0.000	0.060	0.045	0.000	0.000	0.000	0.031	0.000	0.176	0.212	0.035	0.000	0.000	0.094	0.027	0.026	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.117	0.000	0.041	0.046	0.000	0.000	0.000	0.000	0.000	0.261	0.000	0.056	0.152	0.000	0.000	0.024	0.038	0.000	0.104	0.034	0.000	0.000	0.000	0.081	0.119	0.090	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.162	0.000	0.000	0.024	0.085	0.042	0.000	0.376	0.105	0.064	0.000	0.050	0.000	0.071	0.000	0.000	0.000	0.000	0.000	0.135	0.079	0.000	0.047	0.129	0.095	0.076	0.000	0.031	0.027	0.000	0.394	0.000	0.000	0.000	0.000	0.000	0.000	0.085	0.042	0.391	0.000	0.000	0.000	0.000	0.000	0.070	0.000	0.022	0.114	0.133	0.080	0.300	0.000	0.107	0.000	0.200	0.000	0.056	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.067	0.000	0.279	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.199	0.000	0.043	0.000	0.342	0.163	0.169	0.000	0.187	0.000	0.103	0.000
olive	0.000	0.000	0.213	0.016	0.000	0.274	0.028	0.335	0.000	0.000	0.000	0.448	0.471	0.000	0.000	0.000	0.000	0.000	0.231	0.000	0.000	0.019	0.000	0.000	0.000	0.171	0.000	0.000	0.000	0.000	0.000	0.412	0.140	0.000	0.000	0.013	0.000	0.174	0.211	0.000	0.000	0.000	0.016	0.000	0.183	0.000	0.118	0.000	0.000	0.131	0.011	0.540	0.000	0.018	0.023	0.000	0.000	0.000	0.058	0.064	0.000	0.026	0.000	0.000	0.018	0.050	0.000	0.077	0.035	0.013	0.435	0.000	0.000	0.000	0.022	0.071	0.031	0.000	0.000	0.000	0.028	0.047	0.000	0.000	0.017	0.118	0.385	0.028	0.000	0.017	0.073	0.052	0.000	0.000	0.028	0.000	0.132	0.000	0.085	0.044	0.000	0.133	0.000	0.000	0.000	0.000	0.126	0.000	0.000	0.000	0.089	0.041	0.000	0.174	0.082	0.476	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.129	0.000	0.264	0.126	0.040	0.000	0.045	0.000	0.000	0.000	0.000	0.081	0.000	0.144	0.196	0.000	0.023	0.000	0.115	0.147	0.068	0.022	0.000	0.017	0.000	0.000	0.092	0.068	0.000	0.000	0.093	0.000	0.141	0.110	0.000	0.000	0.124	0.000	0.291	0.079	0.000	0.437	0.000	0.000	0.000	0.015	0.024	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.037	0.169	0.000	0.000	0.022	0.292	0.000	0.000
onions	0.000	0.000	0.043	0.101	0.000	0.000	0.000	0.095	0.000	0.000	0.034	0.352	0.174	0.000	0.000	0.000	0.076	0.044	0.103	0.026	0.000	0.000	0.068	0.000	0.000	0.000	0.000	0.082	0.062	0.000	0.000	0.324	0.052	0.000	0.000	0.000	0.022	0.000	0.350	0.000	0.000	0.000	0.048	0.152	0.042	0.000	0.000	0.000	0.000	0.051	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.078	0.000	0.052	0.026	0.118	0.000	0.000	0.302	0.000	0.000	0.044	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.382	0.000	0.000	0.000	0.000	0.000	0.000	0.074	0.057	0.000	0.000	0.000	0.095	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.229	0.000	0.000	0.000	0.011	0.000	0.000	0.437	0.016	0.313	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.091	0.019	0.038	0.030	0.000	0.000	0.049	0.000	0.000	0.000	0.102	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.051	0.000	0.079	0.000	0.000	0.000	0.000	0.225	0.000	0.000	0.000	0.060	0.000	0.000	0.022	0.020	0.000	0.025	0.000	0.000	0.000	0.030	0.327	0.000	0.000	0.000	0.016	0.000	0.074	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.141	0.018	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.026	0.000	0.243	0.000	0.000	0.000	0.059	0.000	0.110
